Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E3'), (2, 'E1'), (3, 'S4'), (4, 'E1'), (5, 'E2'), (6, 'S4'), (7, 'E4'), (8, 'S5'), (9, 'S2'), (10, 'E4'), (11, 'S1'), (12, 'S2'), (13, 'S7'), (14, 'S8'), (15, 'S7')]",11259.11,17.88,1.62
"[(1, 'E3'), (2, 'E3'), (3, 'S6'), (4, 'S4'), (5, 'S9'), (6, 'S8'), (7, 'E6'), (8, 'E1'), (9, 'S6'), (10, 'S7'), (11, 'E9'), (12, 'E1'), (13, 'S1'), (14, 'S9'), (15, 'E7'), (16, 'E9'), (17, 'E5'), (18, 'E4'), (19, 'S0')]",16850.02226,18.77568498,1.803182613
"[(1, 'E3'), (2, 'E3'), (3, 'S6'), (4, 'S8'), (5, 'S1'), (6, 'S0'), (7, 'E7'), (8, 'E0'), (9, 'S0'), (10, 'S5'), (11, 'S7'), (12, 'E8'), (13, 'E6'), (14, 'S4'), (15, 'S7'), (16, 'E8'), (17, 'S7'), (18, 'S3'), (19, 'E0')]",17250.61283,18.79267027,1.821905672
"[(1, 'E3'), (2, 'S2'), (3, 'S1'), (4, 'E6'), (5, 'E2'), (6, 'S2'), (7, 'E7'), (8, 'S7'), (9, 'S7'), (10, 'S9'), (11, 'S4'), (12, 'E9'), (13, 'S7'), (14, 'S0'), (15, 'E9'), (16, 'S2'), (17, 'E0'), (18, 'E2')]",14344.8047,17.83737855,1.871369229
"[(1, 'E3'), (2, 'S2'), (3, 'S5'), (4, 'S2'), (5, 'S2'), (6, 'S9'), (7, 'E7'), (8, 'S9'), (9, 'S4'), (10, 'S6'), (11, 'E0'), (12, 'E0'), (13, 'E9'), (14, 'S4'), (15, 'S6'), (16, 'S7'), (17, 'E1')]",16052.19426,18.95951251,1.684443792
"[(1, 'E3'), (2, 'S3'), (3, 'E4'), (4, 'S4'), (5, 'E5'), (6, 'S9'), (7, 'S0'), (8, 'E8'), (9, 'S6'), (10, 'E4'), (11, 'E3'), (12, 'S3'), (13, 'E0'), (14, 'S5'), (15, 'E2'), (16, 'S2'), (17, 'E1'), (18, 'E4'), (19, 'E6')]",14014.10292,17.72787793,1.728644368
"[(1, 'E3'), (2, 'S4'), (3, 'S0'), (4, 'E5'), (5, 'S8'), (6, 'E3'), (7, 'S7'), (8, 'S3'), (9, 'S8'), (10, 'S1'), (11, 'E4'), (12, 'S0'), (13, 'S1'), (14, 'E4'), (15, 'E1'), (16, 'S9'), (17, 'E4'), (18, 'E4')]",13966.15159,17.68456192,1.720378287
"[(1, 'E3'), (2, 'S7'), (3, 'E9'), (4, 'S2'), (5, 'S3'), (6, 'S3'), (7, 'E9'), (8, 'E9'), (9, 'S8'), (10, 'S9'), (11, 'E2'), (12, 'E0'), (13, 'S1'), (14, 'E6'), (15, 'S2')]",13498.93515,17.38402887,1.908026804
"[(1, 'E3'), (2, 'S8'), (3, 'E7'), (4, 'E1'), (5, 'E4'), (6, 'S0'), (7, 'E9'), (8, 'S6'), (9, 'S8'), (10, 'S5'), (11, 'S7'), (12, 'S8'), (13, 'S1'), (14, 'E7'), (15, 'S0'), (16, 'E5'), (17, 'S7'), (18, 'E1')]",16008.74776,18.4385558,1.825219551
"[(1, 'E3'), (2, 'S8'), (3, 'E7'), (4, 'S8'), (5, 'S8'), (6, 'S3'), (7, 'S7'), (8, 'E2'), (9, 'S9'), (10, 'E0'), (11, 'S1'), (12, 'S7'), (13, 'S3'), (14, 'E4')]",13973.16,18.87,1.45
"[(1, 'E3'), (2, 'S9'), (3, 'S3'), (4, 'S9'), (5, 'E3'), (6, 'S1'), (7, 'S1'), (8, 'E4'), (9, 'E8'), (10, 'E2'), (11, 'S7'), (12, 'E9'), (13, 'E7'), (14, 'E0'), (15, 'E3'), (16, 'E8'), (17, 'S5'), (18, 'S6'), (19, 'S5'), (20, 'S5')]",16551.74344,19.05106003,1.854201364
"[(1, 'E4'), (2, 'E0'), (3, 'E1'), (4, 'S7'), (5, 'S9'), (6, 'E5'), (7, 'S4'), (8, 'S8'), (9, 'E7'), (10, 'S1'), (11, 'S1'), (12, 'S5'), (13, 'S7'), (14, 'E6'), (15, 'S9'), (16, 'S1'), (17, 'S9'), (18, 'S6')]",16407.2498,19.9694215,1.568159587
"[(1, 'E4'), (2, 'E2'), (3, 'S6'), (4, 'S7'), (5, 'S6'), (6, 'S4'), (7, 'S0'), (8, 'S7'), (9, 'S2'), (10, 'S0'), (11, 'S5')]",9524.74,17.4,1.85
"[(1, 'E4'), (2, 'E2'), (3, 'S9'), (4, 'E7'), (5, 'S1'), (6, 'S6'), (7, 'S9'), (8, 'S4'), (9, 'S9'), (10, 'E5'), (11, 'E8'), (12, 'E2'), (13, 'S1'), (14, 'S6'), (15, 'S9'), (16, 'E6'), (17, 'E7')]",17406.27,18.67,1.87
"[(1, 'E4'), (2, 'E4'), (3, 'E0'), (4, 'E5'), (5, 'S3'), (6, 'E9'), (7, 'E8'), (8, 'E7'), (9, 'S8'), (10, 'E7'), (11, 'E3'), (12, 'S1'), (13, 'S2'), (14, 'E4'), (15, 'E7'), (16, 'E1'), (17, 'S1'), (18, 'E5')]",12302.71398,15.72920659,1.71293977
"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'E4'), (7, 'E4'), (8, 'E4'), (9, 'E4'), (10, 'E4'), (11, 'S0'), (12, 'S0'), (13, 'S0'), (14, 'S0'), (15, 'S0'), (16, 'S0'), (17, 'S0'), (18, 'S0'), (19, 'S0'), (20, 'S50')]",12742.92051,22.44028608,1.776059532
"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'E4'), (7, 'E4'), (8, 'E4'), (9, 'E4'), (10, 'E4'), (11, 'S0'), (12, 'S0'), (13, 'S0'), (14, 'S0'), (15, 'S0'), (16, 'S0'), (17, 'S0'), (18, 'S0'), (19, 'S10'), (20, 'S40')]",12578.20138,21.96815311,1.760656301
